"","RECID","EPINO","WGHT_PER","WGHT_EPI","DDAY","TOTEPISO","ACTCODE","STARTIME","ENDTIME","STARMIN","ENDMIN","DURATION","PLACE","ALONE","SPOUSE","CHILDHSD","PARHSD","MEMBHSD","NHSDCL15","NHSDC15P","NHSDPAR","OTHFAM","FRIENDS","OTHERS","ENJOYAC"
"91",6059,10,0,747.9328,4,17,792,1615,1630,975,990,15,17,2,2,1,2,2,2,2,2,2,2,2,2
"92",7619,5,0,2064.2782,3,17,60,915,1000,555,600,45,2,2,2,2,2,2,2,2,2,2,2,1,2
"93",15193,14,0,620.8991,7,27,792,1400,1402,840,842,2,14,1,2,2,2,2,2,2,2,2,2,2,2
"94",216,19,0,215.3941,7,28,792,1619,1634,979,994,15,12,1,2,2,2,2,2,2,2,2,2,2,2
"95",5560,4,0,2693.5507,4,14,90,745,800,465,480,15,14,1,2,2,2,2,2,2,2,2,2,2,2
"96",15195,6,0,3297.4918,6,15,832,1045,1245,645,765,120,11,2,2,2,2,2,2,2,2,2,1,2,1
"97",7935,4,0,3970.1646,6,11,940,740,825,460,505,45,1,1,2,2,2,2,2,2,2,2,2,2,2
"98",7421,8,0,2226.9718,5,29,390,1035,1040,635,640,5,14,1,2,2,2,2,2,2,2,2,2,2,2
"99",3485,11,0,578.609,4,15,400,1810,1830,1090,1110,20,11,9,9,9,9,9,9,9,9,9,9,9,2
"100",4510,38,0,879.8431,7,42,291,2300,2305,1380,1385,5,14,2,2,1,2,2,2,2,2,2,2,2,8
